Dataset,AUC,AP,RunTime,Memory
4_breastw.npz,0.975036752233405,0.9345194090774953,0.0913,3020
37_Stamps.npz,0.9051049170059505,0.3452632352690866,0.064,3020
22_magic.gamma.npz,0.6701082222098498,0.5918528928872975,0.0574,3020
44_Wilt.npz,0.8396933217562781,0.17892827030728964,0.1213,3020
10_cover.npz,0.9519314129606056,0.1840449782603527,0.3573,3020
14_glass.npz,0.6650406504065041,0.10139675446692992,0.0657,3020
16_http.npz,0.994015779772765,0.3929254667634424,0.1385,3020
38_thyroid.npz,0.8815742940899672,0.17906787722790324,0.1504,3020
12_fault.npz,0.6469173764067855,0.4643119784732248,0.1919,3020
2_annthyroid.npz,0.6802421815215229,0.17169460738984849,0.1492,3020
36_speech.npz,0.4745641605426795,0.020200969166948933,0.0854,3020
21_Lymphography.npz,0.9964788732394366,0.9305555555555556,0.057,3020
42_WBC.npz,0.9934272300469483,0.9243434343434344,0.0572,3020
29_Pima.npz,0.660455223880597,0.4866540244784278,0.0574,3020
47_yeast.npz,0.40039245849811944,0.29623554469354274,0.0575,3020
40_vowels.npz,0.9116927453769559,0.34789244320190404,0.1414,3020
28_pendigits.npz,0.8300995623381682,0.08139003029302011,0.21,3020
6_cardio.npz,0.950453172205438,0.6127912443885739,0.0579,3020
23_mammography.npz,0.8073722350157395,0.12902930486001182,0.2715,3020
45_wine.npz,0.819327731092437,0.2426788708442007,0.0744,3020
13_fraud.npz,0.9524689708497774,0.14694923530933438,0.0592,3020
25_musk.npz,0.9872672589141358,0.7536766267945524,0.1724,3020
27_PageBlocks.npz,0.9046467737207519,0.5113099859426246,0.0597,3020
9_census.npz,0.677642167658945,0.09228617675208578,0.2979,3020
30_satellite.npz,0.6819809355671564,0.5273085413060078,0.1138,3020
18_Ionosphere.npz,0.9262081128747796,0.9233108155062177,0.1017,3020
24_mnist.npz,0.833767099190828,0.3690239734916247,0.1668,3020
20_letter.npz,0.8318599999999999,0.24880081592216252,0.1617,3020
46_WPBC.npz,0.48062561645765817,0.2265404870704015,0.0572,3020
35_SpamBase.npz,0.5466346896887087,0.40935999781569044,0.0811,3020
8_celeba.npz,0.78431071706377,0.11204680820940169,0.0596,3020
15_Hepatitis.npz,0.7405281285878301,0.337333868052591,0.0581,3020
41_Waveform.npz,0.6398085551899492,0.044558038929070995,0.0574,3020
1_ALOI.npz,0.5748828400421037,0.04079242158886126,0.1686,3020
33_skin.npz,0.7866201568413171,0.35010613297023757,0.1208,3020
5_campaign.npz,0.7415458043130809,0.2718506747295464,0.1218,3020
7_Cardiotocography.npz,0.5727634484770199,0.3387984496536464,0.0836,3020
19_landsat.npz,0.5321558731509612,0.21134636017358854,0.1022,3020
34_smtp.npz,0.959578523922657,0.27291936159035557,0.1363,3020
3_backdoor.npz,0.9068190371981145,0.5332673516716625,0.1894,3020
43_WDBC.npz,0.9859943977591037,0.5560989245196407,0.0581,3020
11_donors.npz,0.7715566158216971,0.11775915173787534,0.2075,3020
26_optdigits.npz,0.5251875246742992,0.027892522600008116,0.1019,3020
39_vertebral.npz,0.3723809523809524,0.09581158497799254,0.0755,3020
31_satimage-2.npz,0.9619850997120195,0.30304141042992294,0.11,3020
32_shuttle.npz,0.9866308634858351,0.7860531033024845,0.1142,3020
17_InternetAds.npz,0.6144246204494749,0.29501839442783934,0.0651,3020
