Dataset,AUC,AP,RunTime,Memory
4_breastw.npz,0.9754231218666366,0.940597194740153,0.1504,17
37_Stamps.npz,0.905000521975154,0.3453459452237021,0.0644,17
22_magic.gamma.npz,0.6689372389799286,0.5917747678462479,0.0659,31
44_Wilt.npz,0.8626822490647661,0.2050493557435847,0.1338,31
10_cover.npz,0.9330346225711453,0.12027526102464434,0.172,248
14_glass.npz,0.6617886178861788,0.10110442296352116,0.0654,248
16_http.npz,0.9982027892977843,0.6540831808896138,0.1458,444
38_thyroid.npz,0.9536398097893595,0.3538367381649752,0.0767,444
12_fault.npz,0.6488192611828012,0.4630091011103371,0.235,444
2_annthyroid.npz,0.6732097367040074,0.19014444767923983,0.062,444
36_speech.npz,0.4702362916902204,0.01798806173914111,0.0829,444
21_Lymphography.npz,0.9964788732394366,0.9305555555555556,0.0573,444
42_WBC.npz,0.9934272300469483,0.9243434343434344,0.0571,444
29_Pima.npz,0.6553208955223881,0.48328086626129874,0.0576,444
47_yeast.npz,0.40119191099428875,0.29520351466205996,0.0723,444
40_vowels.npz,0.9104978662873399,0.3788599458000393,0.1644,444
28_pendigits.npz,0.8705450913895955,0.10018700155892266,0.2628,444
6_cardio.npz,0.9509750068662455,0.6119524453122436,0.0576,444
23_mammography.npz,0.8858942668610343,0.1985398264598464,0.09,444
45_wine.npz,0.8159663865546218,0.2574601246863244,0.0634,444
13_fraud.npz,0.9481235422636836,0.10891780961314318,0.1412,444
25_musk.npz,0.9909598233688566,0.7877532713773441,0.1737,444
27_PageBlocks.npz,0.9051756192954348,0.5125026580799191,0.0577,444
9_census.npz,0.6747994021608577,0.0906027651307442,0.1757,3020
30_satellite.npz,0.601030954079133,0.6063617887052744,0.0612,3020
18_Ionosphere.npz,0.9299823633156967,0.9262025494567708,0.1031,3020
24_mnist.npz,0.840465429109497,0.378191607448043,0.1774,3020
20_letter.npz,0.87384,0.31294519312244323,0.1443,3020
46_WPBC.npz,0.48499365929265886,0.22750152110743455,0.0563,3020
35_SpamBase.npz,0.5514122707156912,0.4103056416746053,0.0584,3020
8_celeba.npz,0.7862782323228288,0.11300576196692813,0.0604,3020
15_Hepatitis.npz,0.746268656716418,0.34451462993533233,0.0586,3020
41_Waveform.npz,0.636311696081364,0.04410879788296629,0.0574,3020
1_ALOI.npz,0.5687714772314422,0.03976929163068268,0.1292,3020
33_skin.npz,0.7905368002052486,0.3585489357062393,0.1237,3020
5_campaign.npz,0.7451290438082372,0.2928689646650428,0.8447,3020
7_Cardiotocography.npz,0.7511862473436393,0.47399399034758716,0.0582,3020
19_landsat.npz,0.543070940216434,0.21713366017667302,0.1128,3020
34_smtp.npz,0.9269898170146262,0.22754271856308858,0.1199,3020
3_backdoor.npz,0.9032304002363838,0.5314445328635634,0.1962,3020
43_WDBC.npz,0.9854341736694678,0.5484066168273329,0.0597,3020
11_donors.npz,0.7361003517515716,0.10457590056638033,0.2449,3020
26_optdigits.npz,0.5588564284774312,0.02982552165508142,0.1014,3020
39_vertebral.npz,0.3768253968253968,0.09646447479409914,0.0571,3020
31_satimage-2.npz,0.9059935327246101,0.245617193525852,0.1087,3020
32_shuttle.npz,0.9946410253549014,0.8655319552503741,0.1029,3020
17_InternetAds.npz,0.6144909397616585,0.29488602067104563,0.0635,3020
